Rot R, Rot P, Rot Y, Pos X, Pos Y, Pos Z 
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
-2.61833151271,-1.26809409894,-2.98401276733,-0.0450795625127,-0.0528398075522,-0.0900166627478
