
Rot R, Rot P, Rot Y, Pos X, Pos Y, Pos Z 
0.0,-0.0,0.0,0.0,0.0,0.0
-3.1285667613,-0.953826337585,2.82365516252,-0.0571917766638,-0.0292646887885,-0.12449415388
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842286905,-0.953683095407,2.82317347665,-0.0571887425088,-0.0292592768858,-0.124496819736
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
-3.12842704697,-0.95367576088,2.82317688395,-0.0571877810514,-0.0292592768858,-0.124497261386
